1, 1, 380
1, 1, 374
1, 1, 375
1, 1, 374
1, 1, 374
2, 1, 195
2, 1, 195
2, 1, 202
2, 1, 195
2, 1, 202
2, 2, 409
2, 2, 388.5
2, 2, 394
2, 2, 413.5
2, 2, 391.5
3, 1, 139
3, 1, 133
3, 1, 133
3, 1, 135
3, 1, 133
3, 3, 473
3, 3, 394.333
3, 3, 397
3, 3, 399.333
3, 3, 393.333
4, 1, 104
4, 1, 100
4, 1, 102
4, 1, 111
4, 1, 101
4, 2, 273
4, 2, 201
4, 2, 210
4, 2, 201
4, 2, 205.5
4, 4, 711.75
4, 4, 415.5
4, 4, 404.5
4, 4, 403
4, 4, 401
5, 1, 109
5, 1, 81
5, 1, 81
5, 1, 81
5, 1, 82
5, 5, 426
5, 5, 410.2
5, 5, 407.8
5, 5, 405.4
5, 5, 403.8
6, 1, 71
6, 1, 68
6, 1, 68
6, 1, 68
6, 1, 68
6, 2, 141
6, 2, 136
6, 2, 138.5
6, 2, 136
6, 2, 136
6, 3, 235
6, 3, 202.667
6, 3, 204
6, 3, 213.667
6, 3, 205.333
6, 6, 962.333
6, 6, 573.833
6, 6, 409
6, 6, 416.5
6, 6, 417.167
7, 1, 86
7, 1, 60
7, 1, 59
7, 1, 59
7, 1, 60
7, 7, 651.429
7, 7, 431.714
7, 7, 411.286
7, 7, 411.429
7, 7, 409.571
8, 1, 68
8, 1, 65
8, 1, 62
8, 1, 53
8, 1, 53
8, 2, 110
8, 2, 105.5
8, 2, 106
8, 2, 104.5
8, 2, 104
8, 4, 442.25
8, 4, 239.5
8, 4, 207.75
8, 4, 214.5
8, 4, 208
8, 8, 629.125
8, 8, 413.5
8, 8, 419.75
8, 8, 411.375
8, 8, 420.125
9, 1, 50
9, 1, 50
9, 1, 49
9, 1, 48
9, 1, 47
9, 3, 186
9, 3, 141
9, 3, 147
9, 3, 154.333
9, 3, 143
9, 9, 732.667
9, 9, 435.444
9, 9, 425.222
9, 9, 427.889
9, 9, 427.444
10, 1, 46
10, 1, 45
10, 1, 44
10, 1, 44
10, 1, 43
10, 2, 121
10, 2, 86
10, 2, 86
10, 2, 86
10, 2, 86
10, 5, 342.6
10, 5, 219.2
10, 5, 214.8
10, 5, 214.4
10, 5, 214.2
10, 10, 1290.6
10, 10, 466.1
10, 10, 434.5
10, 10, 429.2
10, 10, 436.9
11, 1, 43
11, 1, 42
11, 1, 41
11, 1, 40
11, 1, 40
11, 11, 776.727
11, 11, 448.545
11, 11, 435.182
11, 11, 433
11, 11, 430
12, 1, 39
12, 1, 39
12, 1, 39
12, 1, 39
